modzcta,modzcta_name,lat,lon,people_positive_7day,hospitalization_count_28day,death_count_28day
10001,Chelsea/NoMad/West Chelsea,40.750693,-73.997137,45,10,0.0
10002,Chinatown/Lower East Side,40.715781,-73.986176,76,23,6.0
10003,East Village/Gramercy/Greenwich Village,40.731825,-73.989164,55,9,0.0
10004,Financial District,40.703675,-74.01310600000001,3,0,0.0
10005,Financial District,40.706092,-74.008861,7,4,0.0
10006,Financial District,40.709651,-74.013044,3,0,0.0
10007,TriBeCa,40.713923,-74.00754599999999,8,0,0.0
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,40.72638,-73.97870400000001,63,11,
10010,Flatiron/Gramercy/Kips Bay,40.739119,-73.98254399999999,44,7,
10011,Chelsea,40.741707,-74.000062,36,8,0.0
10012,Greenwich Village/SoHo,40.725576000000004,-73.998078,23,6,0.0
10013,Hudson Square/Little Italy/SoHo/TriBeCa,40.720096000000005,-74.004763,21,9,0.0
10014,Hudson Square/Meatpacking District/West Village,40.73402,-74.006314,23,5,
10016,Kips Bay/Murray Hill/NoMad,40.745174,-73.978319,60,12,
10017,East Midtown/Murray Hill,40.752543,-73.973037,24,3,0.0
10018,Hell's Kitchen/Midtown Manhattan,40.755190999999996,-73.992667,20,0,0.0
10019,Hell's Kitchen/Midtown Manhattan,40.76528,-73.985974,64,12,0.0
10021,Lenox Hill/Upper East Side,40.769474,-73.958771,59,12,0.0
10022,East Midtown,40.758676,-73.968098,42,4,
10023,Lincoln Square,40.775901,-73.982658,77,16,
10024,Upper West Side,40.792085,-73.974871,65,17,
10025,Manhattan Valley/Morningside Heights/Upper West Side,40.798651,-73.966585,130,28,
10026,Central Harlem (South),40.802341,-73.95252099999999,41,12,
10027,Central Harlem (South)/Morningside Heights/West Harlem,40.8118,-73.953204,57,11,0.0
10028,Upper East Side/Yorkville,40.776432,-73.953509,51,12,0.0
10029,East Harlem,40.791777,-73.943969,90,23,
10030,Central Harlem (North),40.818326,-73.942842,24,16,
10031,Hamilton Heights/West Harlem,40.825278000000004,-73.950037,34,19,
10032,Washington Heights (South),40.838768,-73.942824,42,12,
10033,Washington Heights (North)/Washington Heights (South),40.850497,-73.934007,47,11,0.0
10034,Inwood/Washington Heights (North),40.867168,-73.924048,26,14,
