loc_phone,loc_name,loc_admin_street1,loc_admin_city,loc_admin_state,loc_admin_zip,web_address,insurance_accepted,med_name,latitude,longitude
(718) 492-1500,4th Avenue Pharmacy #MS1005633,5002 4th Avenue,Brooklyn,NY,11220-1814,,,"Janssen, COVID-19 Vaccine, 0.5 mL",40.646507,-74.012974
718-241-3559,Rite Aid #RA103869,1791 UTICA AVENUE,BROOKLYN,NY,11234-2120,https://www.riteaid.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",40.628933,-73.927624
(718) 779-2221,Vida Care Pharmacy LLC #MS1005570,37-64 90th Street,Jackson Heights,NY,11372-7830,,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",40.74872,-73.876767
7182528535,ShopRite Pharmacy #191471,1080 MCDONALD AVE,BROOKLYN,NY,11230,https://vaccines.shoprite.com/,True,"Moderna, SPIKEVAX, 100mcg/0.5mL",40.626740000000005,-73.97694200000001
718-856-8841,Rite Aid #RA104246,892-908 FLATBUSH AVENUE,BROOKLYN,NY,11226-4018,https://www.riteaid.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL",40.649673,-73.958854
(718) 378-6800,rite care pharmacy #MS1005541,898 e 163rd street,bronx,NY,10459,https://ritecarepharmacy.makeplans.net,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose",40.82085,-73.89831
718-392-8474,Rite Aid #RA104858,46-12 GREENPOINT AVENUE,SUNNYSIDE,NY,11104-1708,https://www.riteaid.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL",40.742084999999996,-73.918392
(718) 261-8440,TRAYMORE CHEMISTS #MS1005223,110-80 QUEENS BLVD,FOREST HILLS,NY,11375-6345,,True,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",40.718601,-73.838617
(718) 264-2222,Nutracare Pharmacy #5821411,22036 HILLSIDE AVE,Queens Village,NY,11427,http://www.nutracarepharmacy.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose",40.730815,-73.742486
(212) 690-6502,ROSY PHARMACY #MS1005439,3355 BROADWAY,NEW YORK,NY,10031,,True,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",40.820665000000005,-73.95506800000001
(917) 830-0600,Lucias Pharmacy #MS1005678,2090 HYLAN BLVD,Staten Island,NY,10306,http://www.luciaspharmacy.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",40.579081,-74.100538
(718) 349-8989,SAI APTEKA PHARMACY INC. #MS1000208,151 NASSAU AVE,BROOKLYN,NY,11222-4023,,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",40.725066,-73.947222
(718) 768-2700,Greentree Pharmacy #MS1005401,291 7th Avenue,BROOKLYN,NY,11215,http://www.greentreepharmacy.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",40.66788,-73.980498
(718) 680-9855,BEST CARE PHARMACY #332502,8510 3RD AVENUE,BROOKLYN,NY,11209,https://bestcarepharmacy.com/,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",40.624089,-74.030999
212-925-6088,FAMILY CHOICE PHARMACY CORP #MS1005909,13-17 ELIZABETH ST UNIT10,NEW YORK,NY,10013-4149,,,"Janssen, COVID-19 Vaccine, 0.5 mL",40.716055,-73.997548
