latitude,longitude,loc_name,loc_admin_street1,loc_admin_city,loc_admin_state,loc_admin_zip,loc_phone,web_address,insurance_accepted,med_name,Index
40.646507,-74.012974,4th Avenue Pharmacy #MS1005633,5002 4th Avenue,Brooklyn,NY,11220-1814,(718) 492-1500,,,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",1.0
40.628933,-73.927624,Rite Aid #RA103869,1791 UTICA AVENUE,BROOKLYN,NY,11234-2120,718-241-3559,https://www.riteaid.com,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL",2.0
40.74872,-73.876767,Vida Care Pharmacy LLC #MS1005570,37-64 90th Street,Jackson Heights,NY,11372-7830,(718) 779-2221,,True,"Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 50 mcg/0.50 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 10mcg/0.2 mL",3.0
40.62674,-73.976942,ShopRite Pharmacy #191471,1080 MCDONALD AVE,BROOKLYN,NY,11230,7182528535,https://vaccines.shoprite.com/,True,"Moderna, SPIKEVAX, 100mcg/0.5mL:Moderna, COVID-19 pediatric vaccine, 25mcg/.25 ml:Novavax, COVID-19 Vaccine, 5 mcg/0.5 mL:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 50 mcg/0.50 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL",4.0
40.649673,-73.958854,Rite Aid #RA104246,892-908 FLATBUSH AVENUE,BROOKLYN,NY,11226-4018,718-856-8841,https://www.riteaid.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 30mcg/0.3mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",5.0
40.82085,-73.89831,rite care pharmacy #MS1005541,898 e 163rd street,bronx,NY,10459,(718) 378-6800,https://ritecarepharmacy.makeplans.net,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose",6.0
40.742085,-73.918392,Rite Aid #RA104858,46-12 GREENPOINT AVENUE,SUNNYSIDE,NY,11104-1708,718-392-8474,https://www.riteaid.com,True,"Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose",7.0
40.718601,-73.838617,TRAYMORE CHEMISTS #MS1005223,110-80 QUEENS BLVD,FOREST HILLS,NY,11375-6345,(718) 261-8440,,True,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Moderna, COVID-19 Vaccine, Bivalent Booster, 50mcg/0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, Bivalent Booster, 10mcg/0.2 mL:Novavax, COVID-19 Vaccine, 5 mcg/0.5 mL",8.0
40.730815,-73.742486,Nutracare Pharmacy #5821411,22036 HILLSIDE AVE,Queens Village,NY,11427,(718) 264-2222,http://www.nutracarepharmacy.com,True,"Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL",9.0
40.820665,-73.955068,ROSY PHARMACY #MS1005439,3355 BROADWAY,NEW YORK,NY,10031,(212) 690-6502,,True,"Pfizer-BioNTech, COVID-19 Vaccine, 30 mcg/0.3mL, tris-sucrose:Janssen, COVID-19 Vaccine, 0.5 mL:Pfizer-BioNTech, COVID-19 Vaccine, 10 mcg/0.2 mL, tris-sucrose:Moderna, COVID-19 Vaccine, 100mcg/0.5mL 10 dose:Pfizer-BioNTech, COVID-19 Vaccine, 3 mcg/0.2 mL, tris-sucrose",10.0
